pais_nombre,provincia_nombre,ciudad_nombre,territorio_key
España,Barcelona,Rubí,d9201c4f2812b7fcf8936ee30aa28588
España,León,Ponferrada,cd54782996c98dfdbfe96404184f3d0e
España,Álava/Araba,Berantevilla,c88f00aa9977f354005b17033bc3b815
España,Lleida,Mollerussa,368976f5e8c86d95f5b2aabf3140ccc2
España,Barcelona,Martorelles,ec0927ca77600e31785104b8f7e76876
España,Zaragoza,María de Huerva,def09d873c173809fcc957052e2e0903
España,Valencia/València,Quart de Poblet,fb4a5e4cf6f6bce51f25980dc9585b99
España,Pontevedra,Vigo,b299d165abd3d710170d0042761e16fb
España,Navarra,Villafranca,66abbd2cc56feb789f901ebc1d26fd04
España,Murcia,Molina de Segura,f44d7ce83dd16a4ef4778219494799a8
España,Guipúzcoa/Gipuzkoa,Oiartzun,f5293230a2210dc24b0b77a7c447d839
España,Barcelona,Montmeló,029f473f9a8a882fad671fe4a3ba9abc
España,Navarra,Orkoien,6a00797bc9abcc901b2ebeec58732400
España,Barcelona,Vallbona d'Anoia,44a8248a1be1687a86be72865471404d
España,Granada,Granada,494d06c41283200c51a5fc7fedb2a07a
España,Girona,Santa Coloma de Farners,d825e843d472958e4c7e6866542d2444
España,Girona,Castell-Platja d'Aro,9d9622d69cd4e4885d73fd3bb95b210b
España,Madrid,Torrejón de Ardoz,fb805eee8f793a75e2308c57560a4206
España,Girona,Riudellots de la Selva,8294b6dd713a4f25721d21bec4d1c909
España,Guadalajara,Guadalajara,dd7d885070657a56b2f0e7f0e1f1d90e
España,Valencia/València,Albal,bb9698df8a20013df2b46ab249aac463
España,Palencia,Alar del Rey,b224f6b58cd037173e87846ace560c7e
España,Alicante/Alacant,Villajoyosa/La Vila Joiosa,d361b518441a6b750648509925cfc95e
España,Valencia/València,Sagunto/Sagunt,ac2906edde0617ab5922740cbda6563d
España,Las Palmas,Las Palmas de Gran Canaria,f93d0c31928843224e08628045c92dc2
España,Ourense,Ourense,b65201c5dc1ecb666a897a810017407c
España,Alicante/Alacant,Sant Joan d'Alacant,76ea60288fd1a9b3b81532a54c4e5cf6
España,Barcelona,Sitges,aebf321a01a8099d1b2522c04310c7ae
España,Segovia,Abades,7595891e7f90f23beb3f6597789c72ae
España,Barcelona,L'Hospitalet de Llobregat,164b8133ef70798939f98ea0eafbfd8e
España,Málaga,Benalmádena,82bb2cc19961f977bfc0a63228ae3d34
España,Barcelona,Castellví de Rosanes,f8670825156b1cbaad6fa52ca0a2103d
España,Guipúzcoa/Gipuzkoa,Azpeitia,e3f1614e9df65eeb072595901005ef52
España,Guipúzcoa/Gipuzkoa,Azkoitia,ed167e435504429a04825249e6b19ab2
España,Madrid,Guadarrama,fe5baba487df1a6b323ecfca3b3cbb39
España,Lleida,Lleida,d8a3254761de472c44827e37e274e15c
España,Alicante/Alacant,Torrevieja,3bec5e36d3297c67183adbe537b268fe
España,Madrid,Paracuellos de Jarama,137779a53dce7f3205606a9c8be5eb69
España,Madrid,Alcobendas,b80558339e69de037cce5cfd928d4bc8
España,Ciudad Real,Ciudad Real,0329ae00b5d62e257a54f509be214500
España,León,Riego de la Vega,0242229578a345b1635464e027f7aae2
España,Barcelona,Vilanova del Camí,05db293d09b5fc73bf7d6492bdf30052
España,Barcelona,Esplugues de Llobregat,3a9837d8ba43fd9faa0d93af94f0ab5d
España,Barcelona,Montcada i Reixac,b3ca6bfa5b44115028a81e637fc8baa8
España,Guipúzcoa/Gipuzkoa,Zumaia,e670a67fa25cf944ac0097fb1e41ce73
España,Madrid,Alcalá de Henares,306eea592e6c162131a7313b6d7543e9
España,Lleida,Alcarràs,154453dd77bfcb9941285c5437ee3459
España,Pontevedra,Ponteareas,dfd05306e7813598b7affcd51575d754
España,Navarra,Berrioplano,663cfd893adf1b4910d1cff74afc2007
España,Valencia/València,Picassent,31d89ba149171cc0f568cb3fd540accf
España,Guipúzcoa/Gipuzkoa,Hernani,39b2638e39d15b2b0ef801628acba649
España,Cuenca,Cuenca,19a4c1c1ad913c758a9310efe90ba6c0
España,Islas Baleares/Illes Balears,Eivissa,7c63de4f3eba622f7c05770dfc564123
España,Las Palmas,Mogán,021d572b100ff26915a9fb21f44066ba
España,Toledo,Talavera de la Reina,0e2b6f180bdb5e34d554675395830712
España,Jaén,Jaén,40cc621abdb9de961bdc957186cfccfe
España,Islas Baleares/Illes Balears,Ciutadella de Menorca,bbdb823eb9f77ab3855d0c80f2b92cf8
España,Tarragona,Montblanc,0ce41322af6750266c7f73492ba36928
España,Vizcaya/Bizkaia,Zaldibar,db00a7388f0c415f7b199464dfb4b6e4
España,Girona,La Jonquera,85618320e7b8a90693cb2fe10bd7638a
España,Barcelona,Montornès del Vallès,567cf965d40e00529e2efcfde311a60f
España,Alicante/Alacant,La Nucia,45ee5951d42b684458e2670840f73a2a
España,Santa Cruz de Tenerife,Arico,d760b85e827cbeccb4e91e7dde37d9e4
España,Valencia/València,Gandia,6d0d43ff73bd8e48add99cf7276d10db
España,Tarragona,Reus,8ee24bbda8048e5fe96dc73dc051ad8f
España,Santa Cruz de Tenerife,Güímar,327f6d271d0beaefc5c9a18103db725b
España,Cádiz,Algeciras,ecbaaafccd7dc79f1df0d0a86efcbb8e
España,Guipúzcoa/Gipuzkoa,Oñati,9f29a9439ffe9977b1692e7064335c7d
España,Lleida,Almacelles,87d53c69b9133fb87a2d6486cbd357ee
España,Tarragona,Cambrils,9adae139e73547352d61259e44ce7589
España,Alicante/Alacant,Cocentaina,dc09ffd8c68d690e4138bca4bd56c781
España,Murcia,Águilas,c572879891c99f0fe9af1844d704e4c0
España,Tarragona,Vila-Seca,76873b3381a650a3689473233b7870fa
España,Tarragona,Amposta,7f60a2fedd07d8423cf50c5b0c019c6e
España,Barcelona,Tona,9fa710bbab3fd2977b077527d73b9e7c
España,Barcelona,Castellar del Vallès,985cf6291da253dea0f2bed70b02bc51
España,Madrid,Getafe,f67392ed06ac7a7bbf298b5805cab434
España,Navarra,Los Arcos,9cd79295d06883edc1f115e3c26b8c95
España,Guadalajara,Cabanillas del Campo,c9514b6c81040bf76e2654b9ac038e9a
España,Barcelona,Cerdanyola del Vallès,608a08d7850482dea6e47563fe7f5328
España,Alicante/Alacant,Elche/Elx,4823282a159ccddb1396fc91794fe2dd
España,Girona,Tossa de Mar,aaed5105a56e6f7570fa9aabd658696b
España,Islas Baleares/Illes Balears,Campos,2ad851c20d86212ee456917a07a1fa83
España,Albacete,Albacete,bf118381fd7bf6125cdd59674c486920
España,Barcelona,Parets del Vallès,40f262425fa10c9af4edacb683af6ff4
España,Girona,Girona,bd5487a1ec99804bbe3325666f4bf9b0
España,Barcelona,Vic,ee9dcb51c6aed5fa5080f3bc4f91dc12
España,Málaga,Torremolinos,904cdec164538093158275a4fc9c176d
España,Almería,Benahadux,b60896ceb93dce920e2ca449b15d189e
España,A Coruña,Curtis,f057395e39c1d5ee07e726efa880ea58
España,Burgos,Miranda de Ebro,f26f3307f94fd27b75a12a18fcf2245a
España,Castellón/Castelló,Benicarló,0eafabf63c314f893d144b11e28d7fa6
España,Málaga,Fuengirola,60a8e96c57386ef8f301288a38dd683e
España,Cádiz,Cádiz,284b3da68cb01ba3106577bea079465f
España,Barcelona,Gavà,b7682692e1738ef333a6095c0ee35cc9
España,A Coruña,Santiago de Compostela,246ac8dd14fd25e55b206e37a25537f7
España,Madrid,Rivas-Vaciamadrid,32eb554731a5685563cb663a4557da5d
