categoria_nombre,subcategoria_nombre,categoria_key
Educación y formación,Educación especial,28a9c48c45f882e00c4b88df0f6360b2
"Calidad, producción e I+D",Investigación y desarrollo,90b95f118b6276962823fa20dae81f6e
"Profesiones, artes y oficios",Limpieza,41c178bf30d3beeee156bdafff35d2af
Marketing y comunicación,Comunicación corporativa,2809a84bd45e47e8fd6d2a22d3dc140c
Atención a clientes,Promoción y ferias,566832f3b7ce3b42a40aa5858d81f02e
Sanidad y salud,Veterinaria,988c20764e6423da0de7b48de4509cd0
Informática y telecomunicaciones,Administración de bases de datos,493bee876eb297148fd79d2052fe1045
Administración de empresas,Negociación y contratación,2e7ad2c1c78e4955004643ede1865cdf
"Profesiones, artes y oficios",Agricultura y jardinería,24769c033328c8ea594a71dfdf76dedb
Diseño y artes gráficas,Creación audiovisual,c72025bda99912fc1b5b003d55db99a7
Ingenieros y técnicos,Agrónomo y montes,b36c626eef758b61253d85a79e5aafd1
Marketing y comunicación,RRPP y eventos,6130970d5298f9caa72c6623d58f6aaf
Administración Pública,Administración local,0cf29d2ac63b445ce15f6940992b6c6e
Ingenieros y técnicos,"Geología, geodesia y cartografía",0721c28c0557e0eece40b0d9b6b24952
Inmobiliario y construcción,Arquitectura y proyección,983da8036cece5de2c85d4ef7f25361b
Administración de empresas,Secretariado,ae3a1631ad4890a296472d6957c409b7
Legal,"Derecho civil, penal y constitucional",66486df8e50345b6b0f4b14299ded378
Marketing y comunicación,Periodismo y edición,3800ce210663b098674fb4b6b0fdbc6c
Legal,Notaría y registros,c167cbb670da9245aacd8963843d11ea
Administración de empresas,Dirección y gerencia,9fa666b98f6c16753e6f2b0a61a211b6
Finanzas y banca,Banca privada,6156ce3a959f6063c00da1c2ac85c7f4
Administración de empresas,Organización de la empresa,b1f4b9f8dadd4aa860cdaa9ed8d329b7
Educación y formación,Educación social,299f233442b4468b8714d19dbd973539
"Calidad, producción e I+D",Certificación de calidad,7fde7b23245dd830046d29cb042477e5
"Calidad, producción e I+D",Medio ambiente,895a75cbf31ff93e51cc4cc28d8e7644
Marketing y comunicación,Desarrollo de marca y producto,e3dfe08e234445b9d6971840a8ee899a
Legal,Derecho procesal,aa40832c6a67bc50fefd05291f401aeb
Administración Pública,Administración autonómica,eae8258da1ebc8da652b4c6bf9d5c26f
"Profesiones, artes y oficios",Seguridad y vigilancia,8f5b5665e9f500416a26e57233a7fb81
Ingenieros y técnicos,Naval y oceánico,14ec66373e9534f026bc466c499d13e2
Diseño y artes gráficas,Diseño industrial,df34a9fbb3181e07ca37732dd56184c3
Sanidad y salud,Psicología,8bf59d7df8c145d0444dbb868c174709
Administración Pública,Empresas públicas,e7a87435405397200909fe1705fd2a43
Diseño y artes gráficas,Diseño gráfico,f0999d52b8822eff473941a533e513f6
Sector Farmacéutico,Comercial y ventas,e70925fc0f49e8f9e46d8f5565dbd073
Diseño y artes gráficas,Editorial e imprenta,657a75b5f876bfae542461a70bfc5a29
Administración de empresas,Operaciones societarias,5a1a7b28ea97b201fc4aebcb863b83ab
Ingenieros y técnicos,Sistemas de defensa,275bb3613f8e09041c924a3d7228ae11
Marketing y comunicación,Técnicas audiovisuales,6cb40e7f75b57fd5527a55529d5c5b5b
Legal,Derecho internacional,6a42bf0f840aff15b7dc3dae6851d074
Diseño y artes gráficas,Diseño web,b942ee9da8eb18e1bdc4b110854e5521
Ingenieros y técnicos,Minas,f4ced6f8425dc6d3ef1b3ecbbcccaee8
Educación y formación,Gestión de centros educativos,9319059bafa202946fd3e7ae828e82e5
"Calidad, producción e I+D",Metrología,7ff4e5f9fc348314289ce0c4a2d0621a
Sector Farmacéutico,Acceso al mercado y relaciones institucionales,033ec873dda55300876057e9999bc2f0
Sector Farmacéutico,Asuntos regulatorios,c1c91c067318d5438188c5fabec47f85
Marketing y comunicación,Publicidad,d257b5ffbce1f2f31cdff4bccb16c9ff
"Profesiones, artes y oficios",Traducción e interpretación,2eba7019c845093dcbba8c8a9a7f1a73
Sector Farmacéutico,Marketing y comunicación,5dc6b7363694608871fb961f28c91b0f
Sector Farmacéutico,Investigación clínica y asuntos médicos,37786962b76e2c0f6b5cbce62504bc19
Diseño y artes gráficas,Moda y confección,5040213a082070449eb4399301c6c8fc
Sanidad y salud,Medicinas alternativas,0b76dc7b84ba4e4c9cdcea534a5e62c1
Educación y formación,Pedagogía,09e28eb572377d275b7e6bfd8606b004
Marketing y comunicación,Producción,e31d1618b12b839d2b30f1b90a4084d9
Administración Pública,Administración del Estado,58ff9085c04b755e136a3f3b2fa5fbc6
Administración Pública,Administraciones europeas,71dfbedf3acbf2c63c0dc4115a503d38
"Profesiones, artes y oficios",Fotografía ,560bf3bec34c251f559a615a659f5add
"Profesiones, artes y oficios",Artes plásticas,4ac63ee5266af8db1d6c3c98b0b87457
"Profesiones, artes y oficios",Artesanía,0fac72c5ba25f1ce67440d83cecce136
Educación y formación,Puericultura,44472fb6b5be4fc2c0d44a359ea6e8c7
