oferta_id,compania_nombre,compania_key
8e2b4945694b9087fc19fd0b61cf4b,HAYS Working for your Tomorrow,42e2361bb11b1742cac916e7a8899470
1fa74b82b5430abd6cab23169967bf,Empresa grupo multinacional,503865c1feccf5b31d8fe2da3daa105b
70022f6a03475f8450e6fa76768f85,GI BPO,7b26d17d5604aee60f91b73850709ab6
a0d3dc784f4668bc56c881458caa12,TALLERES BELSUE SL,cfc528f56815c3d0f58e026148dae026
b341ba3c4a417586d7026621ce354d,STAFFPREMIUM SL.,64d89cf5db84ce2e4e9c2feb48e827d5
2a93bffee7451bab01675f454710c1,Cobra Instalaciones y Servicios.,79f22135eb954fd33ce6e7f7a46db355
6100024c6c43488c4214d6d947d06b,"MORENO RUIZ HNOS., S.L.",c1adc6cf33a134634b49653640f1c42e
7c1b995fa24e808204fb170022dee0,Empresa ámbito industrial en expansión,93df8ac87734df69dd8bdc36cdc50483
a31df4cb6a4e15881b47fc6ad001d8,MAJESTIC HOTEL GROUP,ba0ecb1f2b2e109b8ecb897270340121
305b1244db4baf9937e19a660dd07c,CITIUS,f5965ba3a0608eadf645fa32cdb12a2c
01751787224ef1a37e1d0901199d48,Lyreco,c0d8e83578107ac7ba2fcbc6e447c2c8
309455e2444c1f845b144cc98e053a,"Dormitorum, S.A.",3e2db5e2213926edf1e5cbcfe283abe3
e730b0cf9d47dc9aad61a8d814c4a6,"Intecsa Ingeniería Industrial, S.A.",b864d4692012602b90616d2add734e3b
7e72b7bc094660bc8b8042591764f1,PISCINAS CASTILLA,e083387d182fe64fac49f969a7713941
29782a0f114e61b784ba141aba5872,Empresas Asociadas de OTIS en España,f617f08c94530a76a78a4507ac084158
8a1767a5e54ac4a7c4a9dc816872e2,Eurofirms People First,eee963790d1d2f99747693c4ea1ab01b
580fbee29746cb91a3f054bf211ed3,ALTEN Puestos Transversales,bc3ee2733827e7846703c6c13d0c8077
82da7d94da4c2fbe40d193aab19f76,EMPRESA INDUSTRIAL,856c7944b043d076777262ccfcaf4541
8ecd463b2743a48bd7a3c2ab057fbc,APERTI EXPORT SL.,979df4b88b3274ac79132980228bf01c
772d2903354527956af27a28f37163,Grupo Bastón de Oro,9aa4d083630d1b65ee8748e1f7b4e308
09d0706730433b9ddecb129be5120e,DEVOTEAM,feafdc1b43212ece9274d0be92dc1d09
59d8c5d6324b3284ccea58caf6ae0b,Grupo Crit: Trabajemos juntos,c7b9883872438b7cd527538b60657869
2d239513d64829a9e9fdcb0860b618,FACTORIA KREATIVA,7b9bc2d2d20c0a17933996f9bcb30a1d
cf89dd4faa4e508b43a2a75dd53954,Ibermática,f709965d7cc19f0e1be4e7fc63a20788
d0e7d432404f2fbae54b823acd0be4,FICARA,67de5036795f3d4cbf303ef1cfc3468b
0772ac8c5e4f3a8a08068b3597d7d0,Proarcai Management Consulting,4f2e87918120501781229fd48f7eb75c
1a515c6d604cd1a62369a3d5b1150b,Eurofirms Group,b4a65d08f7d42caef191e3ce9ed8ffb8
a9d7ab80b745189b5b4fc855e69d2a,Claire Joster,4752319a976bd25135ea14115980daa7
88e0da3c2340e5bf3607ee464619ba,ANANDA,7000da04e7da64c6497d708f3955a54c
5167f5ff2840eabc2009cab0f37b9e,Merkal,c600ab1ccdf9cb755acc5124373f9a88
a416004a7545fbb879b678975f5094,Triangle Solutions RRHH,ca2a239b077a22e850223b714ba83295
3969d40bbe42938dce0dd84394f054,GV Talent,db337f82da4a1457dd66f17fed286f07
1b4cc031a546358fb669fbdcc22101,Empresa multinacional,bacecc4e527da089cc14d9933f5642da
387857852c4c28bcfc0c64b5f2e40b,Eurofirms Foundation,f3ac595eb1be1c79094d8956a0e977d0
a99a7f3e6a43d88991b06bc6876427,TELEFONICA GLOBAL TECHNOLOGY SA,7820def4be2be0c2412ec2d66b6f8432
c29928231c472bb0140e2cb7505026,Les Glòries,39a7bcd6996fd49185d6ff0a3dced5cb
1f099d8a8f40b09ff88b306fd52066,EUTRANS SCCL,7cb9e4142f9adeeea122441605dd9a5d
d953c617554977b7eb37268173bbd3,ADI STEEL SOLUTIONS SL.,60cc1b98b0760766f4fd49029ebb72b5
0e7af010e3452e936776d1ad77d9bc,JUST-EAT SPAIN SL,6b0bb1cc8afc860fd756e9f694f8820e
72dc612ed44d5e8fc728c5ab274c77,RtV Capital Consulting & Proyectos Inmobiliarios S,c106c1780a708afaa4d3343f963dfa6e
