oferta_id,idioma_nombre,idioma_key
054aa0311446f993f4d91194cd3236,Español,de92bbe05815c4eb756acb5897baa99c
96a3ce09474db1aa9d8545f8211720,Holandés,d8a9679f8e44b4f9efee54b74c32e24f
8da62d4fe4410f8bbde3d690ab8cd6,Español,de92bbe05815c4eb756acb5897baa99c
22f3e420ed4f68b568ce6813dbe66f,Español,de92bbe05815c4eb756acb5897baa99c
00124620a048e9823880c2ced9ff18,Español,de92bbe05815c4eb756acb5897baa99c
fa77761fc245b892aec4800afbdda4,Español,de92bbe05815c4eb756acb5897baa99c
3c47e7fa064a588ed0ff8ebbdbb61a,Español,de92bbe05815c4eb756acb5897baa99c
e20e12c6d8443ea089d599f455e60c,Español,de92bbe05815c4eb756acb5897baa99c
e20e12c6d8443ea089d599f455e60c,Inglés,216df59d4dca0cc05c7678221afc6c97
70c50e61734ccabc12544543de1bfc,Español,de92bbe05815c4eb756acb5897baa99c
70c50e61734ccabc12544543de1bfc,Inglés,216df59d4dca0cc05c7678221afc6c97
c49f0d80b743c399dcc101fe19e02e,Inglés,216df59d4dca0cc05c7678221afc6c97
cc60e051614f78a11b666636be8203,Español,de92bbe05815c4eb756acb5897baa99c
5062147bbb43638deaff4d1df17f51,Español,de92bbe05815c4eb756acb5897baa99c
f0e2761f2b40ceb9797e81d2ba79fc,Español,de92bbe05815c4eb756acb5897baa99c
40e38bd8be457ba6c9128bb93e38cb,Inglés,216df59d4dca0cc05c7678221afc6c97
